Sep 17 20:36:57.349941 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: we strongly recommend against using it for new projects.
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: If you are already using Eventlet, we recommend migrating to a different
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: framework.  For more detail see
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: https://eventlet.readthedocs.io/en/latest/asyncio/migration.html
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]:   import eventlet as _eventlet  # noqa
Sep 17 20:47:00.415464 devstack-92-210 neutron-rpc-server[267288]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:47:00.415464 devstack-92-210 neutron-rpc-server[267288]:   self.session.flush()
Sep 17 20:47:00.416206 devstack-92-210 neutron-rpc-server[267288]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:47:00.416206 devstack-92-210 neutron-rpc-server[267288]:   self.session.flush()
Sep 17 20:47:00.416995 devstack-92-210 neutron-rpc-server[267288]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:47:00.416995 devstack-92-210 neutron-rpc-server[267288]:   self.session.flush()
Sep 17 20:47:00.418341 devstack-92-210 neutron-rpc-server[267288]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:47:00.418341 devstack-92-210 neutron-rpc-server[267288]:   self.session.flush()
